Absorción máxima teorica,Absorción en cm-1 teórica,Energía del estado excitado teórica,Fueza del oscilador teórico,Dureza química teórica,Electrofilicidad teórica,Poder electrodonador teórico,Poder electroaceptor teórico,HOMO teórico,LUMO teórico,Energía de exitación teórica,Inyección teórica,Voc teórico,Regeneración teórico,Recombinación teórica,Gap teórico,Energía de enlace del excitón teórico,Tiempo de vida del estado excitado teórico,Eficiencia de recolección de luz teórico,Eficiencia experimental
557.4,17.9,2.22,1.2829,10.39894637,0.481981345,0.030846277,3.1969474,-5.444184798,-3.031622074,-3.224184798,0.715815202,0.908377926,0.604184798,1.504184798,2.412562724,0.192562724,3.646722913,0.947868527,0.94
469.2,21.3,2.64,1.1063,9.255523234,0.475688034,0.046144539,3.013548,-5.102409614,-2.551612978,-2.462409614,1.477590386,1.388387022,0.242409614,1.162409614,2.550796636,-0.089203364,2.986548099,0.921711134,7.96
552.9,18.1,2.24,0.6439,9.668673961,0.454055416,0.030830517,2.993975393,-5.084177976,-2.809032822,-2.844177976,1.095822024,1.130967178,0.224177976,1.144177976,2.275145154,0.035145154,7.106013987,0.772961243,4.12
412.2,24.3,3.01,1.1554,9.268965667,0.482001754,0.048713964,3.037913758,-5.13751232,-2.647124992,-2.12751232,1.87248768,1.352875008,0.53751232,1.13751232,2.490387328,-0.519612672,2.197134899,0.930080229,6.5
390.3,25.6,3.18,0.8299,8.743214156,0.686539667,0.187109465,3.651950972,-5.812627154,-2.177728342,-2.632627154,1.307372846,1.762271658,0.972627154,1.872627154,3.634898812,0.454898812,2.756106134,0.8520551,2.23
402.3,24.9,3.08,1.0427,8.517441149,0.601479828,0.134820262,3.335779192,-5.494798002,-2.219906012,-2.414798002,1.525201998,1.720093988,0.654798002,1.554798002,3.27489199,0.19489199,2.318694678,0.909364153,3.13
402.1,24.9,3.08,1.1559,8.655158057,0.594977708,0.126280393,3.335525195,-5.517927692,-2.235960738,-2.437927692,1.502072308,1.704039262,0.677927692,1.577927692,3.281966954,0.201966954,2.091619466,0.93016068,1.21
452.7,22.1,2.74,1.105,9.036063272,0.526976769,0.075691707,3.161723278,-5.257514594,-2.426440538,-2.517514594,1.422485406,1.513559462,0.417514594,1.317514594,2.831074056,0.091074056,2.777504732,0.921476437,5.56
414,24.2,3,1.5973,10.69321048,0.526829664,0.043667301,3.400302665,-5.924193894,-2.81093762,-2.924193894,1.075806106,1.18906238,1.124193894,1.924193894,3.113256274,0.113256274,1.602449711,0.974724486,2.97
415.9,24,2.98,1.4553,10.8364241,0.526144379,0.041145348,3.417985179,-5.965010994,-2.853387404,-2.985010994,1.014989006,1.146612596,1.165010994,1.965010994,3.11162359,0.13162359,1.788243356,0.964949033,1.98
532.6,18.8,2.33,1.1568,9.544317851,0.432941257,0.02502126,2.8997835,-4.969617982,-2.765222468,-2.639617982,1.360382018,1.234777532,0.169617982,0.969617982,2.204395514,-0.125604486,3.666297092,0.93030526,3.81
526.1,19,2.36,1.0905,10.59663721,0.491281432,0.031481824,3.258223557,-5.54840446,-3.099106346,-3.18840446,0.75159554,0.840893654,0.70840446,1.60840446,2.449298114,0.089298114,3.80775293,0.918810475,2.4
486.1,20.6,2.55,0.8075,10.19589489,0.518401225,0.048382262,3.299709498,-5.53615933,-2.88849011,-2.98615933,0.95384067,1.05150989,0.69615933,1.59615933,2.64766922,0.09766922,4.374462129,0.844224197,4.23
492.6,20.3,2.52,0.8701,10.14971714,0.515139601,0.04776899,3.281504055,-5.502417194,-2.875972866,-2.982417194,0.957582806,1.064027134,0.662417194,1.562417194,2.626444328,0.106444328,4.180617059,0.865134769,5.45
495.2,20.2,2.5,0.8465,10.15194847,0.514965704,0.047655895,3.281200479,-5.495070116,-2.878421892,-2.995070116,0.944929884,1.061578108,0.655070116,1.555070116,2.616648224,0.116648224,4.339822144,0.857603275,6.11
350,28.6,3.54,0.7238,7.966355822,0.623385626,0.16889698,3.320440002,-5.295066326,-2.046841508,-1.755066326,2.444933674,2.153158492,0.095066326,1.095066326,3.248224818,-0.291775182,2.531925879,0.8111139,5.31
459.8,21.7,2.7,0.2358,8.683648396,0.500508468,0.069594433,3.01789549,-5.095606764,-2.136367014,-2.395606764,1.804393236,2.063632986,-0.104393236,0.895606764,2.95923975,0.25923975,13.50014286,0.418968069,4.7
490.9,20.4,2.53,0.7598,10.23652151,0.51598518,0.046653974,3.296851937,-5.528812252,-2.912708256,-2.998812252,1.001187748,1.087291744,0.728812252,1.528812252,2.616103996,0.086103996,4.74069493,0.82613987,3.1
492.2,20.3,2.52,0.8706,10.134125,0.51808346,0.049314789,3.289784675,-5.516567122,-2.85855757,-2.996567122,1.003432878,1.14144243,0.716567122,1.516567122,2.658009552,0.138009552,4.178216061,0.865289949,4.02
514.9,19.4,2.41,0.998,8.761609065,0.51494312,0.075533028,3.079440585,-5.098872132,-2.481951794,-2.688872132,1.251127868,1.458048206,0.258872132,1.158872132,2.616920338,0.206920338,3.990870464,0.899538421,6.67
483.4,20.7,2.56,1.1203,9.327823931,0.462959558,0.039485564,2.978330658,-5.169621772,-2.45582885,-2.609621772,1.390378228,1.54417115,0.369621772,1.169621772,2.713792922,0.153792922,3.122673703,0.924194625,4.8
482.4,20.7,2.57,1.3373,9.419227033,0.464279847,0.038552946,2.995969822,-5.19873797,-2.486849846,-2.62873797,1.37126203,1.513150154,0.39873797,1.19873797,2.711888124,0.141888124,2.615966013,0.954006125,5.05
481.2,20.8,2.58,1.4259,9.532018297,0.46414159,0.03672028,3.011348368,-5.233568562,-2.535830366,-2.653568562,1.346431438,1.464169634,0.433568562,1.233568562,2.697738196,0.117738196,2.429885973,0.962494065,5.01
472.7,21.2,2.62,1.5906,9.6184145,0.46750551,0.0367184,3.035605454,-5.279283714,-2.515149702,-2.659283714,1.340716286,1.484850298,0.479283714,1.279283714,2.764134012,0.144134012,2.096857575,0.974331529,4.75
473.2,21.1,2.62,1.4457,9.617189987,0.451761405,0.030711968,2.978482402,-5.239282956,-2.529843858,-2.619282956,1.380717044,1.470156142,0.439282956,1.239282956,2.709439098,0.089439098,2.328941293,0.964165611,4.51
431.7,23.2,2.87,0.9785,8.602367936,0.594059274,0.127280315,3.324252774,-5.391394682,-2.260995226,-2.521394682,1.478605318,1.739004774,0.551394682,1.391394682,3.130399456,0.260399456,2.846196191,0.894924855,3.83
440.7,22.7,2.81,1.7447,9.56932513,0.519660793,0.06057165,3.214237162,-5.46404912,-2.455556736,-2.65404912,1.34595088,1.544443264,0.62404912,1.46404912,3.008492384,0.198492384,1.667359151,0.98199886,4.02
446.4,22.4,2.78,1.3747,9.672592403,0.505960863,0.052177255,3.180740248,-5.49534223,-2.519231412,-2.71534223,1.28465777,1.480768588,0.65534223,1.49534223,2.976110818,0.196110818,2.173189828,0.95780121,5.2
441.6,22.6,2.81,1.6908,9.706144063,0.522339344,0.059159916,3.243465468,-5.52935648,-2.490115214,-2.71935648,1.28064352,1.509884786,0.68935648,1.52935648,3.039241266,0.229241266,1.735771348,0.979620196,4.16
465.5,21.5,2.66,1.3064,10.40229338,0.51756125,0.044561115,3.325970557,-5.736435234,-2.758147504,-3.076435234,0.863564766,1.181852496,0.896435234,1.796435234,2.97828773,0.31828773,2.482267272,0.950614438,6.1
460.5,21.7,2.69,1.1884,10.99242707,0.515751629,0.034878833,3.402181067,-5.95793603,-2.87352384,-3.26793603,0.67206397,1.06647616,1.11793603,2.01793603,3.08441219,0.39441219,2.678671901,0.935196271,6.3
479.5,20.9,2.59,0.9851,8.512951267,0.566493792,0.112221542,3.217872534,-5.245269464,-2.32521413,-2.655269464,1.284730536,1.61478587,0.405269464,1.305269464,2.920055334,0.330055334,3.483603687,0.896509616,7.38
444.3,22.5,2.79,1.433,10.99332504,0.514688972,0.034476341,3.398445179,-5.954670662,-2.878421892,-3.164670662,0.775329338,1.061578108,1.114670662,2.014670662,3.07624877,0.28624877,2.066285872,0.96310224,6.75
476.6,21,2.6,1.025,8.69575747,0.562690117,0.104733242,3.232996909,-5.296154782,-2.386167666,-2.696154782,1.243845218,1.553832334,0.456154782,1.356154782,2.909987116,0.309987116,3.316188264,0.905593912,6.65
457.9,21.8,2.71,1.4919,10.10879119,0.518575285,0.049973603,3.287926435,-5.621603126,-2.66127492,-2.911603126,1.028396874,1.27872508,0.781603126,1.681603126,2.960328206,0.250328206,2.114213938,0.967781894,5.49
442.3,22.6,2.8,1.2094,11.08728602,0.517855433,0.034321044,3.423011441,-6.000657928,-2.9116198,-3.200657928,0.739342072,1.0283802,1.160657928,2.060657928,3.089038128,0.289038128,2.426692737,0.938255255,5.34
481.5,20.8,2.58,2.2277,10.34324463,0.486899514,0.033412067,3.207091566,-5.55248617,-2.786991588,-2.97248617,0.96751383,1.153008412,0.71248617,1.61248617,2.765494582,0.185494582,1.555314633,0.994080296,5.7
487.1,20.5,2.55,2.6008,10.08389275,0.464434803,0.028866069,3.089359739,-5.391394682,-2.68304404,-2.841394682,1.098605318,1.25695596,0.551394682,1.451394682,2.708350642,0.158350642,1.371472028,0.997492736,1.3
515.1,19.4,2.41,0.8852,9.609407526,0.465403783,0.036026917,3.026764156,-5.24499735,-2.539367848,-2.83499735,1.10500265,1.400632152,0.40499735,1.30499735,2.705629502,0.295629502,4.499422417,0.869743321,0.69
424.1,23.6,2.92,1.2334,9.542113727,0.602254013,0.105783015,3.495997251,-5.747864022,-2.448209658,-2.827864022,1.112135978,1.491790342,0.907864022,1.807864022,3.299654364,0.379654364,2.182095144,0.941574828,1.64
424.6,23.6,2.92,1.231,9.538549034,0.601159641,0.105228658,3.491728537,-5.739700602,-2.448753886,-2.819700602,1.120299398,1.491246114,0.899700602,1.799700602,3.290946716,0.370946716,2.186349432,0.941251065,1.88
439.1,22.8,2.82,1.296,8.936387904,0.572307574,0.104020497,3.302258286,-5.437381948,-2.304533466,-2.617381948,1.322618052,1.635466534,0.597381948,1.497381948,3.132848482,0.312848482,2.224984231,0.949417534,1.14
439.1,22.8,2.82,1.3281,8.852603995,0.574773687,0.107804742,3.297865505,-5.421599336,-2.272696128,-2.601599336,1.338400664,1.667303872,0.581599336,1.481599336,3.148903208,0.328903208,2.171206658,0.953021408,2.34
440.7,22.7,2.81,1.2591,8.902101537,0.57515722,0.106678916,3.306712658,-5.43819829,-2.294193134,-2.62819829,1.31180171,1.645806866,0.59819829,1.49819829,3.144005156,0.334005156,2.310413399,0.944931912,2.51
441.3,22.7,2.81,1.2974,8.908414582,0.573176974,0.105303505,3.300956212,-5.431667554,-2.296370046,-2.621667554,1.318332446,1.643629954,0.591667554,1.491667554,3.135297508,0.325297508,2.242208656,0.94958033,1.82
461.8,21.7,2.68,0.8065,10.51149274,0.499676969,0.035774359,3.276870108,-5.618065644,-2.948899418,-2.938065644,1.001934356,0.991100582,0.778065644,1.678065644,2.669166226,-0.010833774,3.947096946,0.843865096,7.28
485.8,20.6,2.55,0.6351,10.32207416,0.509705516,0.04262542,3.286455915,-5.5647313,-2.875428638,-3.0147313,0.9252687,1.064571362,0.7247313,1.6247313,2.689302662,0.139302662,5.561924373,0.768313889,6.95
516.2,19.4,2.4,0.4399,10.37763985,0.478510686,0.029899971,3.181347754,-5.422415678,-2.960056092,-3.022415678,0.917584322,0.979943908,0.582415678,1.482415678,2.462359586,0.062359586,9.054077571,0.636838334,7.87
481,20.8,2.58,0.4071,10.06168825,0.515513772,0.049457826,3.270308292,-5.476022136,-2.7891685,-2.896022136,1.043977864,1.1508315,0.636022136,1.536022136,2.686853636,0.106853636,8.510868112,0.608348314,6.67
495.5,20.2,2.5,0.5379,10.00628583,0.487009915,0.038457792,3.160367598,-5.343230504,-2.80005306,-2.843230504,1.096769496,1.13994694,0.503230504,1.403230504,2.543177444,0.043177444,6.829632729,0.71019892,5.1
312.6,32,3.97,2.6092,8.542366793,0.559198759,0.106837435,3.197753452,-5.16472372,-1.909423938,-1.19472372,2.74527628,2.030576062,0.32472372,1.22472372,3.255299782,-0.714700218,0.561040621,0.997540765,8.02
316.5,31.6,3.92,1.8107,8.678532652,0.550337731,0.097748196,3.188419311,-5.161186238,-1.997044646,-1.241186238,2.698813762,1.942955354,0.321186238,1.221186238,3.164141592,-0.755858408,0.829050463,0.984536778,4.51
300.4,33.3,4.13,1.7799,8.510039647,0.535736765,0.093526331,3.113175685,-5.082273178,-1.943166074,-0.952273178,2.987726822,1.996833926,0.242273178,1.142273178,3.139107104,-0.990892896,0.759482135,0.983400309,7.63
312.4,32,3.97,2.1777,8.816984269,0.527011956,0.080838709,3.12933215,-5.137240206,-2.018269538,-1.167240206,2.832759794,1.981730462,0.537240206,1.137240206,3.118970668,-0.851029332,0.67220792,0.993357983,5.8
490.6,20.4,2.53,0.4698,10.30686299,0.502307536,0.039879009,3.257709009,-5.507859474,-2.888217996,-2.977859474,0.962140526,1.051782004,0.667859474,1.567859474,2.619641478,0.089641478,7.667049825,0.660999764,6.33
320.8,31.2,3.87,0.9115,-13.81633637,-0.013683938,-0.583430049,-1.198347748,-5.37561207,-2.411746382,-1.50561207,2.43438793,1.528253618,0.53561207,1.43561207,2.963865688,-0.906134312,1.689412767,0.87739731,5.24
354.5,28.2,3.5,1.143,-13.0950848,-0.014589971,-0.53854597,-1.156699513,-5.116287428,-2.373106194,-1.616287428,2.323712572,1.566893806,0.276287428,1.176287428,2.743181234,-0.756818766,1.64913871,0.928055102,6.37
386.8,25.9,3.21,1.1377,-13.67387134,-0.018632608,-0.5349649,-1.248799449,-5.2518002,-2.343717882,-2.0418002,1.8981998,1.596282118,0.4118002,1.3118002,2.908082318,-0.301917682,1.964148622,0.927171729,6.8
391.5,25.5,3.17,1.5029,-13.35015143,-0.020754296,-0.503688144,-1.248097969,-5.085266432,-2.434603958,-1.915266432,2.024733568,1.505396042,0.245266432,1.145266432,2.650662474,-0.519337526,1.533879303,0.968587681,6.39
309.8,32.3,4,1.3384,-13.42661874,-0.017566766,-0.530886173,-1.217708235,-5.169621772,-2.369296598,-1.169621772,2.770378228,1.570703402,0.329621772,1.229621772,2.800325174,-1.199674826,1.073521286,0.954122473,7.41
394.1,25.4,3.15,1.1026,-13.13349887,-0.016936331,-0.521224751,-1.188207931,-5.066218452,-2.308070948,-1.916218452,2.023781548,1.631929052,0.226218452,1.126218452,2.758147504,-0.391852496,2.107250723,0.921041298,7.7
316.2,31.6,3.92,1.1607,-13.05333952,-0.017408243,-0.513577731,-1.187722681,-4.959821878,-2.317322824,-1.039821878,2.900178122,1.622677176,0.119821878,1.019821878,2.642499054,-1.277500946,1.293324436,0.930928323,7.23
440.8,22.7,2.81,1.3292,-13.01369359,-0.019734037,-0.494485601,-1.211162245,-4.911113472,-2.484128706,-2.101113472,1.838886528,1.455871294,0.071113472,0.971113472,2.426984766,-0.383015234,2.188565687,0.953140246,4.8
354.4,28.2,3.5,1.3234,-13.58522584,-0.027390829,-0.472516995,-1.33519955,-5.246902148,-2.470250892,-1.746902148,2.193097852,1.469749108,0.176902148,1.306902148,2.776651256,-0.723348744,1.424335458,0.952510237,4.5
471.6,21.2,2.63,1.4004,-13.81443102,-0.030694389,-0.464342286,-1.385239146,-5.316019104,-2.528483288,-2.686019104,1.253980896,1.411516712,0.246019104,1.376019104,2.787535816,0.157535816,2.381649285,0.960225933,4.3
421.6,23.7,2.94,0.889,-13.39943373,-0.030503434,-0.446404701,-1.350538249,-5.079824152,-2.498278634,-2.139824152,1.800175848,1.441721366,0.239824152,1.139824152,2.581545518,-0.358454482,3.001948102,0.870878073,4.98
437.3,22.9,2.83,1.6471,-5.757505041,-0.719684457,-3.238585565,-0.359840392,-5.08172895,-2.666445086,-2.25172895,1.68827105,1.273554914,0.24172895,1.14172895,2.415283864,-0.414716136,1.735444387,0.977462798,5.29
468.9,21.3,2.64,0.912,-13.5725505,-0.016370352,-0.547717876,-1.214332342,-5.26132419,-2.437869326,-2.62132419,1.31867581,1.502130674,0.42132419,1.32132419,2.823454864,0.183454864,3.622826932,0.87753838,4.22
444.9,22.5,2.79,1.3148,-16.16831232,-0.038052196,-0.531988993,-1.64125883,-6.118755404,-3.069718034,-3.328755404,0.571244596,0.830281966,1.278755404,2.218755404,3.04903737,0.25903737,2.252044154,0.951560461,0.101
332.4,30.1,3.73,0.9448,-13.11893886,-0.01983596,-0.498893286,-1.220317912,-5.040367622,-2.450114456,-1.310367622,2.629632378,1.489885544,0.200367622,1.100367622,2.590253166,-1.139746834,1.751171808,0.886446637,8.1
406.5,24.6,3.05,1.2317,-13.49368913,-0.023243024,-0.493840267,-1.285842971,-5.15383916,-2.43678087,-2.10383916,1.83616084,1.50321913,0.31383916,1.21383916,2.71705829,-0.33294171,2.011066711,0.941345681,7.5
319.4,31.3,3.88,0.9201,-13.20990903,-0.020224494,-0.500579776,-1.231556829,-5.15111802,-2.523585236,-1.27111802,2.66888198,1.416414764,0.31111802,1.21111802,2.627532784,-1.252467216,1.662945158,0.879801237,6.6
440,22.7,2.82,0.9165,-13.78235286,-0.010771091,-0.61049568,-1.155382793,-5.352754494,-2.232423256,-2.532754494,1.407245506,1.707576744,0.512754494,1.412754494,3.120331238,0.300331238,3.174076935,0.878800731,5.3
445.5,22.4,2.78,0.9698,-13.84462752,-0.011889036,-0.602188155,-1.17594643,-5.354659292,-2.269702874,-2.574659292,1.365340708,1.670297126,0.514659292,1.414659292,3.084956418,0.304956418,3.080515628,0.892798713,4.9
441.1,22.7,2.81,1.1656,-5.932086598,-0.741513274,-3.336806058,-0.370757861,-5.051524296,-2.591069508,-2.241524296,1.698475704,1.348930492,0.211524296,1.111524296,2.460454788,-0.349545212,2.495745977,0.931703256,6.1
331.5,30.2,3.74,0.9188,-13.1522361,-0.021232909,-0.490809442,-1.238151705,-5.161730466,-2.485489276,-1.421730466,2.518269534,1.454510724,0.321730466,1.221730466,2.67624119,-1.06375881,1.788820488,0.879440899,5.8
439.9,22.7,2.82,1.017,-13.83542925,-0.011631271,-0.60431895,-1.171634791,-5.367720764,-2.246028956,-2.547720764,1.392279236,1.693971044,0.527720764,1.427720764,3.121691808,0.301691808,2.860414465,0.903838772,4.5
437.9,22.8,2.83,1.0167,-13.83952483,-0.011191981,-0.609063318,-1.165645212,-5.373435158,-2.238953992,-2.543435158,1.396564842,1.701046008,0.533435158,1.433435158,3.134481166,0.304481166,2.836214776,0.903772323,4
335.1,29.8,3.7,0.9034,-14.86565404,-0.034288187,-0.492844965,-1.502514537,-5.553030398,-2.9524369,-1.853030398,2.086969602,0.9875631,0.713030398,1.613030398,2.600593498,-1.099406502,1.86848243,0.875089197,7.5
414.8,24.1,2.99,1.1259,-12.54922488,-0.009863561,-0.555276625,-1.052830728,-4.966896842,-2.022079134,-1.976896842,1.963103158,1.917920866,0.126896842,1.026896842,2.944817708,-0.045182292,2.292280334,0.925165821,2.7
419.5,23.8,2.96,1.3029,-12.53092385,-0.010397512,-0.548742155,-1.059213375,-4.947848862,-2.041671342,-1.987848862,1.952151138,1.898328658,0.107848862,1.007848862,2.90617752,-0.05382248,2.03112492,0.950214829,4.6
368.3,27.2,3.37,1.3798,-13.75059797,-0.031364767,-0.457769049,-1.386514766,-5.107307666,-2.72930342,-1.737307666,2.202692334,1.21069658,0.267307666,1.167307666,2.378004246,-0.991995754,1.468411186,0.95829386,3.4
407,24.6,3.05,1.0825,-14.8977752,-0.030790633,-0.513780986,-1.471603447,-5.683645118,-2.88576897,-2.633645118,1.306354882,1.05423103,0.843645118,1.743645118,2.797876148,-0.252123852,2.288250224,0.917301049,3.21
413.7,24.2,3,1.153,-14.7419491,-0.029597796,-0.513486473,-1.447648349,-5.647998184,-2.751888882,-2.647998184,1.292001816,1.188111118,0.807998184,1.707998184,2.896109302,-0.103890698,2.219941825,0.929692768,3.22
407.1,24.6,3.05,1.1791,-14.73987749,-0.029764399,-0.512410384,-1.4491319,-5.645821272,-2.807128024,-2.595821272,1.344178728,1.132871976,0.805821272,1.705821272,2.838693248,-0.211306752,2.100780992,0.933793596,3.33
370.5,27,3.35,1.2676,-14.65553874,-0.028180728,-0.51790785,-1.426757407,-5.632215572,-2.74154855,-2.282215572,1.657784428,1.19845145,0.792215572,1.692215572,2.890667022,-0.459332978,1.622153224,0.945999224,3.49
374.1,26.7,3.31,1.4939,-13.48107964,-0.029751494,-0.454252276,-1.349888656,-5.03683014,-2.713520808,-1.72683014,2.21316986,1.226479192,0.19683014,1.09683014,2.323309332,-0.986690668,1.40752975,0.967929923,3.29
379.1,26.4,3.27,1.6592,-13.53560694,-0.028514617,-0.463708272,-1.342301062,-5.050980068,-2.640594256,-1.780980068,2.159019932,1.299405744,0.210980068,1.110980068,2.410385812,-0.859614188,1.296268716,0.978082047,3.5
366.6,27.3,3.38,1.1974,-13.44136732,-0.030431805,-0.448707392,-1.353190742,-5.00145532,-2.755698478,-1.62145532,2.31854468,1.184301522,0.16145532,1.06145532,2.245756842,-1.134243158,1.679720741,0.936525396,3.43
